TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Diabetes
Período:2010
"Município de notificação";"Ign/Branco";"Sim";"Não";"Total"
"150170 BRAGANCA";1;1;40;42
"150172 BRASIL NOVO";2;-;3;5
"150175 BREJO GRANDE DO ARAGUAIA";1;-;-;1
"150178 BREU BRANCO";1;1;4;6
"150180 BREVES";5;2;28;35
"150190 BUJARU";1;-;4;5
"150195 CACHOEIRA DO PIRIA";2;-;3;5
"150200 CACHOEIRA DO ARARI";-;-;1;1
"150210 CAMETA";13;-;18;31
"150215 CANAA DOS CARAJAS";-;2;6;8
"150220 CAPANEMA";2;3;20;25
"150230 CAPITAO POCO";4;1;3;8
"150240 CASTANHAL";-;3;87;90
"150250 CHAVES";-;-;2;2
"150260 COLARES";1;-;7;8
"150270 CONCEICAO DO ARAGUAIA";9;-;-;9
"150275 CONCORDIA DO PARA";-;-;7;7
"150277 CURIONOPOLIS";-;2;2;4
"150280 CURRALINHO";3;-;5;8
"150285 CURUA";-;-;1;1
"150290 CURUCA";5;-;5;10
"150293 DOM ELISEU";12;-;5;17
"150295 ELDORADO DOS CARAJAS";11;1;-;12
"150304 FLORESTA DO ARAGUAIA";1;-;-;1
"150307 GARRAFAO DO NORTE";-;-;2;2
"150309 GOIANESIA DO PARA";1;-;10;11
"150310 GURUPA";-;-;4;4
"150320 IGARAPE-ACU";1;2;16;19
"150330 IGARAPE-MIRI";2;-;8;10
"150340 INHANGAPI";1;-;1;2
"150345 IPIXUNA DO PARA";2;-;6;8
"150350 IRITUIA";-;-;3;3
"150360 ITAITUBA";10;3;39;52
"150370 ITUPIRANGA";3;1;8;12
"150375 JACAREACANGA";-;-;3;3
"150380 JACUNDA";-;-;11;11
"150390 JURUTI";2;-;17;19
"150400 LIMOEIRO DO AJURU";-;-;4;4
"150405 MAE DO RIO";-;-;6;6
"150410 MAGALHAES BARATA";-;-;2;2
"150420 MARABA";52;2;39;93
"150430 MARACANA";-;1;14;15
"150440 MARAPANIM";3;-;5;8
"150442 MARITUBA";5;6;83;94
"150445 MEDICILANDIA";-;-;2;2
"150450 MELGACO";-;-;2;2
"150460 MOCAJUBA";-;-;4;4
"150470 MOJU";3;2;10;15
"150480 MONTE ALEGRE";1;-;7;8
"150490 MUANA";1;-;5;6
"150495 NOVA ESPERANCA DO PIRIA";2;-;2;4
"150497 NOVA IPIXUNA";-;-;4;4
"150500 NOVA TIMBOTEUA";1;1;2;4
"150503 NOVO PROGRESSO";1;-;14;15
"150506 NOVO REPARTIMENTO";4;1;5;10
"150510 OBIDOS";-;-;9;9
"150520 OEIRAS DO PARA";1;-;2;3
"150530 ORIXIMINA";-;1;22;23
"150540 OUREM";1;1;-;2
"150543 OURILANDIA DO NORTE";13;1;7;21
"150548 PACAJA";-;-;3;3
"150550 PARAGOMINAS";16;2;24;42
"150553 PARAUAPEBAS";5;4;49;58
"150560 PEIXE-BOI";-;1;2;3
"150563 PICARRA";1;-;2;3
"150565 PLACAS";-;1;6;7
"150570 PONTA DE PEDRAS";2;-;1;3
"150580 PORTEL";1;-;6;7
"150590 PORTO DE MOZ";2;-;5;7
"150600 PRAINHA";-;-;6;6
"150610 PRIMAVERA";3;-;4;7
"150611 QUATIPURU";-;-;2;2
"150613 REDENCAO";2;-;58;60
"150616 RIO MARIA";-;1;1;2
"150618 RONDON DO PARA";-;1;13;14
"150619 RUROPOLIS";1;-;2;3
"150620 SALINOPOLIS";-;-;19;19
"150630 SALVATERRA";1;-;4;5
"150635 SANTA BARBARA DO PARA";5;2;2;9
"150640 SANTA CRUZ DO ARARI";-;-;2;2
"150650 SANTA IZABEL DO PARA";11;-;41;52
"150655 SANTA LUZIA DO PARA";-;-;6;6
"150658 SANTA MARIA DAS BARREIRAS";3;-;3;6
"150660 SANTA MARIA DO PARA";-;1;4;5
"150670 SANTANA DO ARAGUAIA";1;-;5;6
"150680 SANTAREM";2;8;137;147
"150690 SANTAREM NOVO";3;-;3;6
"150700 SANTO ANTONIO DO TAUA";1;-;6;7
"150710 SAO CAETANO DE ODIVELAS";3;1;2;6
"150715 SAO DOMINGOS DO ARAGUAIA";1;1;-;2
"150720 SAO DOMINGOS DO CAPIM";-;-;9;9
"150730 SAO FELIX DO XINGU";3;2;7;12
"150740 SAO FRANCISCO DO PARA";1;-;9;10
"150745 SAO GERALDO DO ARAGUAIA";2;-;3;5
"150746 SAO JOAO DA PONTA";-;-;1;1
"150747 SAO JOAO DE PIRABAS";3;1;8;12
"150750 SAO JOAO DO ARAGUAIA";1;-;-;1
"150760 SAO MIGUEL DO GUAMA";3;2;15;20
"150775 SAPUCAIA";-;-;3;3
"150780 SENADOR JOSE PORFIRIO";1;-;-;1
"150790 SOURE";4;-;5;9
"150795 TAILANDIA";12;-;3;15
"150796 TERRA ALTA";2;1;2;5
"150797 TERRA SANTA";-;-;2;2
"150800 TOME-ACU";4;2;13;19
"150803 TRACUATEUA";1;2;6;9
"150805 TRAIRAO";-;1;1;2
"150808 TUCUMA";3;-;1;4
"150810 TUCURUI";9;3;37;49
"150812 ULIANOPOLIS";1;1;6;8
"150815 URUARA";3;-;11;14
"150820 VIGIA";5;1;16;22
"150830 VISEU";2;1;12;15
"150835 VITORIA DO XINGU";-;-;2;2
"150840 XINGUARA";-;-;10;10
"160005 SERRA DO NAVIO";-;-;1;1
"160020 CALCOENE";1;-;1;2
"160027 LARANJAL DO JARI";8;1;3;12
"160030 MACAPA";10;19;148;177
"160050 OIAPOQUE";5;1;4;10
"160053 PORTO GRANDE";-;-;1;1
"160060 SANTANA";-;-;13;13
"160070 TARTARUGALZINHO";2;-;-;2
"160080 VITORIA DO JARI";1;1;1;3
"170025 ABREULANDIA";-;-;1;1
"170100 ANANAS";-;-;1;1
"170190 ARAGUACEMA";1;-;2;3
"170200 ARAGUACU";-;-;1;1
"170210 ARAGUAINA";5;7;57;69
"170220 ARAGUATINS";4;1;1;6
"170240 ARRAIAS";1;-;-;1
"170255 AUGUSTINOPOLIS";-;-;2;2
"170290 AXIXA DO TOCANTINS";-;-;1;1
"170305 BANDEIRANTES DO TOCANTINS";-;-;2;2
"170360 BRASILANDIA DO TOCANTINS";-;-;1;1
"170380 BURITI DO TOCANTINS";-;-;2;2
"170384 CAMPOS LINDOS";-;-;2;2
"170510 CHAPADA DA NATIVIDADE";-;-;2;2
"170550 COLINAS DO TOCANTINS";1;-;4;5
"170555 COMBINADO";-;-;2;2
"170700 DIANOPOLIS";1;-;3;4
"170720 DOIS IRMAOS DO TOCANTINS";-;-;1;1
"170740 ESPERANTINA";-;-;2;2
"170765 FIGUEIROPOLIS";-;-;1;1
"170900 GOIATINS";-;-;2;2
"170930 GUARAI";-;-;3;3
"170950 GURUPI";-;-;7;7
"171050 ITACAJA";5;-;2;7
"171200 LAJEADO";-;-;1;1
"171320 MIRACEMA DO TOCANTINS";-;-;2;2
"171330 MIRANORTE";-;-;2;2
"171360 MONTE DO CARMO";-;-;1;1
"171420 NATIVIDADE";-;1;1;2
"171500 NOVA ROSALANDIA";-;-;1;1
"171515 NOVO ALEGRE";-;-;3;3
"171575 PALMEIROPOLIS";-;-;2;2
"171610 PARAISO DO TOCANTINS";-;-;1;1
"171620 PARANA";1;-;-;1
"171660 PEIXE";-;-;1;1
"171820 PORTO NACIONAL";1;1;11;13
"171840 PRESIDENTE KENNEDY";-;-;2;2
"171865 RIO DA CONCEICAO";1;-;1;2
"171884 SANDOLANDIA";-;-;1;1
"172020 SAO MIGUEL DO TOCANTINS";-;-;2;2
"172049 SAO VALERIO";-;-;1;1
"172090 TAGUATINGA";1;-;1;2
"172100 PALMAS";-;1;40;41
"172110 TOCANTINIA";-;-;3;3
"172120 TOCANTINOPOLIS";-;-;1;1
"172208 WANDERLANDIA";-;-;1;1
"172210 XAMBIOA";1;-;1;2
"210005 ACAILANDIA";1;-;35;36
"210010 AFONSO CUNHA";-;-;1;1
"210020 ALCANTARA";1;-;-;1
"210030 ALDEIAS ALTAS";-;-;7;7
"210043 ALTO ALEGRE DO MARANHAO";-;1;1;2
"210047 ALTO ALEGRE DO PINDARE";-;2;6;8
"210050 ALTO PARNAIBA";-;-;3;3
"210055 AMAPA DO MARANHAO";-;-;2;2
"210060 AMARANTE DO MARANHAO";2;-;17;19
"210070 ANAJATUBA";-;1;1;2
"210080 ANAPURUS";-;-;1;1
"210087 ARAGUANA";4;-;1;5
"210090 ARAIOSES";1;-;4;5
"210095 ARAME";-;-;11;11
"210100 ARARI";5;-;4;9
"210110 AXIXA";1;-;1;2
"210120 BACABAL";-;1;67;68
"210125 BACABEIRA";-;-;1;1
"210130 BACURI";4;-;-;4
"210140 BALSAS";1;1;16;18
"210150 BARAO DE GRAJAU";-;-;1;1
"210160 BARRA DO CORDA";15;3;12;30
"210170 BARREIRINHAS";-;1;4;5
"210177 BELA VISTA DO MARANHAO";-;-;2;2
"210190 BEQUIMAO";-;1;9;10
"210193 BERNARDO DO MEARIM";1;-;1;2
"210197 BOA VISTA DO GURUPI";1;-;3;4
"210200 BOM JARDIM";1;2;32;35
"210203 BOM JESUS DAS SELVAS";-;-;3;3
"210207 BOM LUGAR";-;1;5;6
"210210 BREJO";3;-;-;3
"210215 BREJO DE AREIA";-;1;1;2
"210220 BURITI";-;1;-;1
"210230 BURITI BRAVO";3;-;1;4
"210232 BURITICUPU";-;1;11;12
"210237 CACHOEIRA GRANDE";1;-;-;1
"210240 CAJAPIO";5;-;2;7
"210250 CAJARI";-;-;3;3
"210260 CANDIDO MENDES";-;-;7;7
"210270 CANTANHEDE";-;-;5;5
"210275 CAPINZAL DO NORTE";-;-;1;1
"210280 CAROLINA";-;-;3;3
"210290 CARUTAPERA";1;-;5;6
"210300 CAXIAS";1;7;59;67
"210310 CEDRAL";-;-;3;3
"210315 CENTRO DO GUILHERME";1;1;2;4
"210317 CENTRO NOVO DO MARANHAO";-;-;4;4
"210320 CHAPADINHA";-;1;23;24
"210325 CIDELANDIA";2;-;1;3
"210330 CODO";4;3;33;40
"210340 COELHO NETO";1;3;19;23
"210350 COLINAS";-;-;7;7
"210355 CONCEICAO DO LAGO-ACU";-;-;5;5
"210360 COROATA";2;-;23;25
"210370 CURURUPU";-;-;3;3
"210375 DAVINOPOLIS";2;-;3;5
"210380 DOM PEDRO";1;1;5;7
"210390 DUQUE BACELAR";-;1;3;4
"210400 ESPERANTINOPOLIS";-;2;2;4
"210405 ESTREITO";-;-;3;3
"210408 FERNANDO FALCAO";-;-;3;3
"210409 FORMOSA DA SERRA NEGRA";1;-;-;1
"210410 FORTALEZA DOS NOGUEIRAS";-;-;1;1
"210420 FORTUNA";-;-;3;3
"210430 GODOFREDO VIANA";3;-;-;3
"210440 GONCALVES DIAS";-;-;2;2
"210455 GOVERNADOR EDISON LOBAO";-;-;3;3
"210460 GOVERNADOR EUGENIO BARROS";1;1;-;2
"210462 GOVERNADOR LUIZ ROCHA";-;1;1;2
"210465 GOVERNADOR NEWTON BELLO";-;-;2;2
"210467 GOVERNADOR NUNES FREIRE";-;-;4;4
"210470 GRACA ARANHA";-;-;1;1
"210480 GRAJAU";2;-;16;18
"210490 GUIMARAES";-;-;4;4
"210500 HUMBERTO DE CAMPOS";-;-;1;1
"210510 ICATU";-;-;1;1
"210515 IGARAPE DO MEIO";-;-;12;12
"210520 IGARAPE GRANDE";2;-;-;2
"210530 IMPERATRIZ";4;4;76;84
"210535 ITAIPAVA DO GRAJAU";-;-;2;2
"210540 ITAPECURU MIRIM";-;-;26;26
"210542 ITINGA DO MARANHAO";-;1;7;8
"210547 JENIPAPO DOS VIEIRAS";-;-;3;3
"210550 JOAO LISBOA";2;-;4;6
"210560 JOSELANDIA";-;1;-;1
"210570 LAGO DA PEDRA";-;-;6;6
"210590 LAGO VERDE";-;-;3;3
"210592 LAGOA DO MATO";1;-;-;1
"210594 LAGO DOS RODRIGUES";1;1;3;5
"210600 LIMA CAMPOS";1;-;2;3
"210610 LORETO";2;-;2;4
"210620 LUIS DOMINGUES";-;-;2;2
"210630 MAGALHAES DE ALMEIDA";1;-;1;2
"210632 MARACACUME";2;-;4;6
"210635 MARAJA DO SENA";-;-;1;1
"210637 MARANHAOZINHO";2;-;3;5
"210640 MATA ROMA";-;-;3;3
"210650 MATINHA";1;-;-;1
"210660 MATOES";-;-;2;2
"210667 MILAGRES DO MARANHAO";1;-;-;1
"210670 MIRADOR";-;-;2;2
"210675 MIRANDA DO NORTE";1;1;7;9
"210680 MIRINZAL";1;-;2;3
"210690 MONCAO";12;1;3;16
"210700 MONTES ALTOS";-;-;1;1
"210710 MORROS";1;-;-;1
"210720 NINA RODRIGUES";-;-;3;3
"210730 NOVA IORQUE";1;-;-;1
"210735 NOVA OLINDA DO MARANHAO";-;1;4;5
"210740 OLHO D'AGUA DAS CUNHAS";-;-;8;8
"210745 OLINDA NOVA DO MARANHAO";6;-;5;11
"210750 PACO DO LUMIAR";-;1;13;14
"210760 PALMEIRANDIA";2;-;1;3
"210780 PARNARAMA";-;1;3;4
"210790 PASSAGEM FRANCA";-;-;3;3
"210800 PASTOS BONS";-;-;3;3
"210805 PAULINO NEVES";-;-;2;2
"210810 PAULO RAMOS";-;-;4;4
"210820 PEDREIRAS";1;4;11;16
"210830 PENALVA";1;-;5;6
"210845 PERITORO";-;-;6;6
"210850 PINDARE-MIRIM";-;2;14;16
"210860 PINHEIRO";5;1;10;16
"210870 PIO XII";1;-;4;5
"210880 PIRAPEMAS";-;-;5;5
"210890 POCAO DE PEDRAS";-;-;1;1
"210900 PORTO FRANCO";-;1;2;3
"210905 PORTO RICO DO MARANHAO";-;-;1;1
"210910 PRESIDENTE DUTRA";-;-;5;5
"210927 PRESIDENTE SARNEY";-;-;1;1
"210940 PRIMEIRA CRUZ";-;-;1;1
"210945 RAPOSA";-;-;11;11
"210950 RIACHAO";-;-;9;9
"210960 ROSARIO";6;-;2;8
"210970 SAMBAIBA";-;-;1;1
"210975 SANTA FILOMENA DO MARANHAO";1;-;-;1
"210980 SANTA HELENA";2;1;4;7
"210990 SANTA INES";1;1;37;39
"211000 SANTA LUZIA";-;1;20;21
"211003 SANTA LUZIA DO PARUA";-;2;5;7
"211010 SANTA QUITERIA DO MARANHAO";-;-;9;9
"211020 SANTA RITA";1;-;2;3
"211023 SANTANA DO MARANHAO";-;-;1;1
"211030 SANTO ANTONIO DOS LOPES";1;-;3;4
"211040 SAO BENEDITO DO RIO PRETO";-;1;1;2
"211050 SAO BENTO";-;-;5;5
"211060 SAO BERNARDO";-;-;13;13
"211070 SAO DOMINGOS DO MARANHAO";-;3;4;7
"211085 SAO FRANCISCO DO BREJAO";-;1;-;1
"211090 SAO FRANCISCO DO MARANHAO";1;-;-;1
"211100 SAO JOAO BATISTA";-;1;2;3
"211102 SAO JOAO DO CARU";-;-;1;1
"211105 SAO JOAO DO PARAISO";1;-;-;1
"211110 SAO JOAO DOS PATOS";3;-;4;7
"211120 SAO JOSE DE RIBAMAR";-;1;51;52
"211125 SAO JOSE DOS BASILIOS";-;-;1;1
"211130 SAO LUIS";10;62;861;933
"211140 SAO LUIS GONZAGA DO MARANHAO";-;1;8;9
"211150 SAO MATEUS DO MARANHAO";17;-;3;20
"211153 SAO PEDRO DA AGUA BRANCA";1;-;7;8
"211160 SAO RAIMUNDO DAS MANGABEIRAS";-;-;3;3
"211167 SAO ROBERTO";-;-;3;3
"211170 SAO VICENTE FERRER";1;-;8;9
"211172 SATUBINHA";-;-;3;3
"211174 SENADOR ALEXANDRE COSTA";2;-;-;2
"211176 SENADOR LA ROCQUE";1;-;3;4
"211195 SUCUPIRA DO RIACHAO";1;-;-;1
"211210 TIMBIRAS";-;-;18;18
"211220 TIMON";8;6;43;57
"211223 TRIZIDELA DO VALE";-;-;6;6
"211227 TUFILANDIA";-;-;1;1
"211230 TUNTUM";4;1;4;9
"211240 TURIACU";-;-;10;10
"211245 TURILANDIA";-;-;6;6
"211260 URBANO SANTOS";-;2;3;5
"211270 VARGEM GRANDE";-;1;19;20
"211280 VIANA";-;1;22;23
"211290 VITORIA DO MEARIM";-;-;11;11
"211300 VITORINO FREIRE";4;1;5;10
"211400 ZE DOCA";1;1;22;24
"220020 AGUA BRANCA";1;-;-;1
"220030 ALTO LONGA";-;-;1;1
"220040 ALTOS";-;-;10;10
"220045 ALVORADA DO GURGUEIA";1;-;1;2
"220050 AMARANTE";2;-;2;4
"220060 ANGICAL DO PIAUI";1;-;-;1
"220105 ASSUNCAO DO PIAUI";-;-;1;1
"220115 BAIXA GRANDE DO RIBEIRO";-;-;3;3
"220120 BARRAS";1;-;3;4
"220140 BARRO DURO";-;-;2;2
"220150 BATALHA";-;-;4;4
"220160 BENEDITINOS";-;-;3;3
"220170 BERTOLINIA";1;-;-;1
"220177 BOA HORA";-;-;1;1
"220180 BOCAINA";-;-;1;1
"220190 BOM JESUS";-;-;5;5
"220191 BOM PRINCIPIO DO PIAUI";-;-;1;1
"220194 BOQUEIRAO DO PIAUI";-;-;1;1
"220196 BRASILEIRA";-;-;1;1
"220198 BREJO DO PIAUI";1;-;1;2
"220200 BURITI DOS LOPES";1;-;3;4
"220205 CABECEIRAS DO PIAUI";-;-;1;1
"220208 CAJUEIRO DA PRAIA";-;-;1;1
"220210 CAMPINAS DO PIAUI";1;-;-;1
"220211 CAMPO ALEGRE DO FIDALGO";-;-;1;1
"220213 CAMPO GRANDE DO PIAUI";-;-;1;1
"220220 CAMPO MAIOR";1;-;8;9
"220230 CANTO DO BURITI";1;-;3;4
"220240 CAPITAO DE CAMPOS";-;-;1;1
"220250 CARACOL";-;-;1;1
"220253 CARAUBAS DO PIAUI";-;-;1;1
"220255 CARIDADE DO PIAUI";1;-;2;3
"220260 CASTELO DO PIAUI";-;-;6;6
"220265 CAXINGO";1;-;1;2
"220270 COCAL";1;1;7;9
"220271 COCAL DE TELHA";1;-;3;4
"220272 COCAL DOS ALVES";-;-;1;1
"220275 COLONIA DO GURGUEIA";-;-;1;1
"220277 COLONIA DO PIAUI";-;-;4;4
"220290 CORRENTE";-;-;1;1
"220310 CRISTINO CASTRO";1;-;2;3
"220320 CURIMATA";-;-;1;1
"220325 CURRALINHOS";1;-;-;1
"220327 CURRAL NOVO DO PIAUI";-;-;2;2
"220335 DIRCEU ARCOVERDE";1;-;1;2
"220340 DOM EXPEDITO LOPES";-;1;1;2
"220342 DOMINGOS MOURAO";-;-;2;2
"220345 DOM INOCENCIO";1;-;-;1
"220350 ELESBAO VELOSO";-;-;1;1
"220360 ELISEU MARTINS";-;-;1;1
"220370 ESPERANTINA";1;-;4;5
"220375 FARTURA DO PIAUI";-;1;-;1
"220390 FLORIANO";-;1;18;19
"220420 FRANCISCO SANTOS";-;-;1;1
"220430 FRONTEIRAS";-;-;2;2
"220450 GUADALUPE";-;-;2;2
"220455 GUARIBAS";-;-;1;1
"220460 HUGO NAPOLEAO";-;-;1;1
"220465 ILHA GRANDE";1;-;-;1
"220470 INHUMA";1;-;3;4
"220480 IPIRANGA DO PIAUI";-;-;3;3
"220500 ITAINOPOLIS";-;-;1;1
"220510 ITAUEIRA";-;-;5;5
"220515 JACOBINA DO PIAUI";-;-;1;1
"220520 JAICOS";1;-;1;2
"220525 JARDIM DO MULATO";1;-;-;1
"220535 JOAO COSTA";-;-;1;1
"220540 JOAQUIM PIRES";-;-;4;4
"220550 JOSE DE FREITAS";-;-;3;3
"220551 JUAZEIRO DO PIAUI";-;-;1;1
"220552 JULIO BORGES";-;-;2;2
"220557 LAGOA DE SAO FRANCISCO";-;-;1;1
"220559 LAGOA DO SITIO";-;1;-;1
"220570 LUIS CORREIA";1;1;7;9
"220580 LUZILANDIA";-;-;2;2
"220585 MADEIRO";1;-;-;1
"220600 MARCOS PARENTE";-;-;1;1
"220605 MASSAPE DO PIAUI";-;-;5;5
"220610 MATIAS OLIMPIO";-;-;2;2
"220620 MIGUEL ALVES";-;1;5;6
"220635 MILTON BRANDAO";-;-;1;1
"220640 MONSENHOR GIL";-;-;2;2
"220650 MONSENHOR HIPOLITO";-;-;1;1
"220660 MONTE ALEGRE DO PIAUI";1;-;-;1
"220670 NAZARE DO PIAUI";3;-;1;4
"220675 NOSSA SENHORA DE NAZARE";1;-;-;1
"220680 NOSSA SENHORA DOS REMEDIOS";1;-;2;3
"220690 NOVO ORIENTE DO PIAUI";-;-;5;5
"220700 OEIRAS";-;-;4;4
"220720 PADRE MARCOS";-;-;1;1
"220730 PAES LANDIM";-;-;1;1
"220750 PALMEIRAIS";1;-;1;2
"220760 PARNAGUA";1;-;1;2
"220770 PARNAIBA";3;4;77;84
"220777 PATOS DO PIAUI";1;-;3;4
"220780 PAULISTANA";-;-;3;3
"220790 PEDRO II";1;-;7;8
"220795 NOVA SANTA RITA";-;-;2;2
"220800 PICOS";21;-;3;24
"220810 PIMENTEIRAS";-;-;4;4
"220820 PIO IX";-;-;2;2
"220830 PIRACURUCA";-;-;7;7
"220840 PIRIPIRI";-;-;12;12
"220850 PORTO";-;-;2;2
"220855 PORTO ALEGRE DO PIAUI";-;-;1;1
"220865 QUEIMADA NOVA";-;-;1;1
"220880 REGENERACAO";-;-;1;1
"220890 RIBEIRO GONCALVES";-;1;-;1
"220900 RIO GRANDE DO PIAUI";-;-;1;1
"220910 SANTA CRUZ DO PIAUI";-;-;3;3
"220915 SANTA CRUZ DOS MILAGRES";1;-;1;2
"220920 SANTA FILOMENA";1;-;-;1
